sample_accession	secondary_sample_accession	run_accession
SAMEA4717425	ERS2537572	ERR2622952
SAMEA4717426	ERS2537573	ERR2622953
SAMEA4717427	ERS2537574	ERR2622954
SAMEA4717428	ERS2537575	ERR2622955
SAMEA4717423	ERS2537570	ERR2622956
SAMEA4717557	ERS2537704	ERR2622957
SAMEA4717560	ERS2537707	ERR2622958
SAMEA4717563	ERS2537710	ERR2622959
SAMEA4717566	ERS2537713	ERR2622960
SAMEA4717569	ERS2537716	ERR2622961
SAMEA4717572	ERS2537719	ERR2622962
SAMEA4717558	ERS2537705	ERR2622963
SAMEA4717561	ERS2537708	ERR2622964
SAMEA4717564	ERS2537711	ERR2622965
SAMEA4717567	ERS2537714	ERR2622966
SAMEA4717570	ERS2537717	ERR2622967
SAMEA4717573	ERS2537720	ERR2622968
SAMEA4717419	ERS2537566	ERR2622969
SAMEA4717830	ERS2537977	ERR2622970
SAMEA4717831	ERS2537978	ERR2622971
SAMEA4717832	ERS2537979	ERR2622972
SAMEA4717833	ERS2537980	ERR2622973
SAMEA4717834	ERS2537981	ERR2622974
SAMEA4717835	ERS2537982	ERR2622975
SAMEA4717836	ERS2537983	ERR2622976
SAMEA4717837	ERS2537984	ERR2622977
SAMEA4717838	ERS2537985	ERR2622978
SAMEA4717839	ERS2537986	ERR2622979
SAMEA4717840	ERS2537987	ERR2622980
SAMEA4717841	ERS2537988	ERR2622981
SAMEA4717842	ERS2537989	ERR2622982
SAMEA4717843	ERS2537990	ERR2622983
SAMEA4717844	ERS2537991	ERR2622984
SAMEA4717845	ERS2537992	ERR2622985
SAMEA4717846	ERS2537993	ERR2622986
SAMEA4717847	ERS2537994	ERR2622987
SAMEA4717848	ERS2537995	ERR2622988
SAMEA4717849	ERS2537996	ERR2622989
SAMEA4717850	ERS2537997	ERR2622990
SAMEA4717851	ERS2537998	ERR2622991
SAMEA4717852	ERS2537999	ERR2622992
SAMEA4717853	ERS2538000	ERR2622993
SAMEA4717854	ERS2538001	ERR2622994
SAMEA4717855	ERS2538002	ERR2622995
SAMEA4717856	ERS2538003	ERR2622996
SAMEA4717857	ERS2538004	ERR2622997
SAMEA4717858	ERS2538005	ERR2622998
SAMEA4717859	ERS2538006	ERR2622999
SAMEA4717860	ERS2538007	ERR2623000
SAMEA4717861	ERS2538008	ERR2623001
SAMEA4717862	ERS2538009	ERR2623002
SAMEA4717863	ERS2538010	ERR2623003
SAMEA4717864	ERS2538011	ERR2623004
SAMEA4717865	ERS2538012	ERR2623005
SAMEA4717866	ERS2538013	ERR2623006
SAMEA4717867	ERS2538014	ERR2623007
SAMEA4717868	ERS2538015	ERR2623008
SAMEA4717869	ERS2538016	ERR2623009
SAMEA4717870	ERS2538017	ERR2623010
SAMEA4717871	ERS2538018	ERR2623011
SAMEA4717872	ERS2538019	ERR2623012
SAMEA4717873	ERS2538020	ERR2623013
SAMEA4717874	ERS2538021	ERR2623014
SAMEA4717875	ERS2538022	ERR2623015
SAMEA4717876	ERS2538023	ERR2623016
SAMEA4717877	ERS2538024	ERR2623017
SAMEA4717878	ERS2538025	ERR2623018
SAMEA4717879	ERS2538026	ERR2623019
SAMEA4717880	ERS2538027	ERR2623020
SAMEA4717881	ERS2538028	ERR2623021
SAMEA4717882	ERS2538029	ERR2623022
SAMEA4717883	ERS2538030	ERR2623023
SAMEA4717884	ERS2538031	ERR2623024
SAMEA4717885	ERS2538032	ERR2623025
SAMEA4717886	ERS2538033	ERR2623026
SAMEA4717887	ERS2538034	ERR2623027
SAMEA4717888	ERS2538035	ERR2623028
SAMEA4717889	ERS2538036	ERR2623029
SAMEA4717890	ERS2538037	ERR2623030
SAMEA4717891	ERS2538038	ERR2623031
SAMEA4717892	ERS2538039	ERR2623032
SAMEA4717893	ERS2538040	ERR2623033
SAMEA4717894	ERS2538041	ERR2623034
SAMEA4717895	ERS2538042	ERR2623035
SAMEA4717896	ERS2538043	ERR2623036
SAMEA4717897	ERS2538044	ERR2623037
SAMEA4717898	ERS2538045	ERR2623038
SAMEA4717899	ERS2538046	ERR2623039
SAMEA4717900	ERS2538047	ERR2623040
SAMEA4717901	ERS2538048	ERR2623041
SAMEA4717902	ERS2538049	ERR2623042
SAMEA4717903	ERS2538050	ERR2623043
SAMEA4717904	ERS2538051	ERR2623044
SAMEA4717905	ERS2538052	ERR2623045
SAMEA4717906	ERS2538053	ERR2623046
SAMEA4717907	ERS2538054	ERR2623047
SAMEA4717908	ERS2538055	ERR2623048
SAMEA4717909	ERS2538056	ERR2623049
SAMEA4717910	ERS2538057	ERR2623050
SAMEA4717911	ERS2538058	ERR2623051
SAMEA4717912	ERS2538059	ERR2623052
SAMEA4717913	ERS2538060	ERR2623053
SAMEA4717914	ERS2538061	ERR2623054
SAMEA4717915	ERS2538062	ERR2623055
SAMEA4717916	ERS2538063	ERR2623056
SAMEA4717917	ERS2538064	ERR2623057
SAMEA4717919	ERS2538065	ERR2623058
SAMEA4717920	ERS2538066	ERR2623059
SAMEA4717921	ERS2538067	ERR2623060
SAMEA4717922	ERS2538068	ERR2623061
SAMEA4717923	ERS2538069	ERR2623062
SAMEA4717924	ERS2538070	ERR2623063
SAMEA4717925	ERS2538071	ERR2623064
SAMEA4717926	ERS2538072	ERR2623065
SAMEA4717927	ERS2538073	ERR2623066
SAMEA4717928	ERS2538074	ERR2623067
SAMEA4717929	ERS2538075	ERR2623068
SAMEA4717930	ERS2538076	ERR2623069
SAMEA4717931	ERS2538077	ERR2623070
SAMEA4717932	ERS2538078	ERR2623071
SAMEA4717933	ERS2538079	ERR2623072
SAMEA4717934	ERS2538080	ERR2623073
SAMEA4717935	ERS2538081	ERR2623074
SAMEA4717936	ERS2538082	ERR2623075
SAMEA4717937	ERS2538083	ERR2623076
SAMEA4717938	ERS2538084	ERR2623077
SAMEA4717939	ERS2538085	ERR2623078
SAMEA4717940	ERS2538086	ERR2623079
SAMEA4717941	ERS2538087	ERR2623080
SAMEA4717942	ERS2538088	ERR2623081
SAMEA4717943	ERS2538089	ERR2623082
SAMEA4717944	ERS2538090	ERR2623083
SAMEA4717945	ERS2538091	ERR2623084
SAMEA4717946	ERS2538092	ERR2623085
SAMEA4717947	ERS2538093	ERR2623086
SAMEA4717948	ERS2538094	ERR2623087
SAMEA4717949	ERS2538095	ERR2623088
SAMEA4717950	ERS2538096	ERR2623089
SAMEA4717951	ERS2538097	ERR2623090
SAMEA4717952	ERS2538098	ERR2623091
SAMEA4717953	ERS2538099	ERR2623092
SAMEA4717954	ERS2538100	ERR2623093
SAMEA4717955	ERS2538101	ERR2623094
SAMEA4717956	ERS2538102	ERR2623095
SAMEA4717957	ERS2538103	ERR2623096
SAMEA4717958	ERS2538104	ERR2623097
SAMEA4717959	ERS2538105	ERR2623098
SAMEA4717960	ERS2538106	ERR2623099
SAMEA4717961	ERS2538107	ERR2623100
SAMEA4717962	ERS2538108	ERR2623101
SAMEA4717963	ERS2538109	ERR2623102
SAMEA4717964	ERS2538110	ERR2623103
SAMEA4717965	ERS2538111	ERR2623104
SAMEA4717966	ERS2538112	ERR2623105
SAMEA4717967	ERS2538113	ERR2623106
SAMEA4717968	ERS2538114	ERR2623107
SAMEA4717969	ERS2538115	ERR2623108
SAMEA4717970	ERS2538116	ERR2623109
SAMEA4717971	ERS2538117	ERR2623110
SAMEA4717972	ERS2538118	ERR2623111
SAMEA4717973	ERS2538119	ERR2623112
SAMEA4717974	ERS2538120	ERR2623113
SAMEA4717975	ERS2538121	ERR2623114
SAMEA4717976	ERS2538122	ERR2623115
SAMEA4717977	ERS2538123	ERR2623116
SAMEA4717978	ERS2538124	ERR2623117
SAMEA4717979	ERS2538125	ERR2623118
SAMEA4717980	ERS2538126	ERR2623119
SAMEA4717981	ERS2538127	ERR2623120
SAMEA4717982	ERS2538128	ERR2623121
SAMEA4717983	ERS2538129	ERR2623122
SAMEA4717984	ERS2538130	ERR2623123
SAMEA4717985	ERS2538131	ERR2623124
SAMEA4717986	ERS2538132	ERR2623125
SAMEA4717987	ERS2538133	ERR2623126
SAMEA4717988	ERS2538134	ERR2623127
SAMEA4717989	ERS2538135	ERR2623128
SAMEA4717990	ERS2538136	ERR2623129
SAMEA4717991	ERS2538137	ERR2623130
SAMEA4717992	ERS2538138	ERR2623131
SAMEA4717993	ERS2538139	ERR2623132
SAMEA4717994	ERS2538140	ERR2623133
SAMEA4717995	ERS2538141	ERR2623134
SAMEA4717996	ERS2538142	ERR2623135
SAMEA4717997	ERS2538143	ERR2623136
SAMEA4717998	ERS2538144	ERR2623137
SAMEA4717999	ERS2538145	ERR2623138
SAMEA4718000	ERS2538146	ERR2623139
SAMEA4718001	ERS2538147	ERR2623140
SAMEA4718002	ERS2538148	ERR2623141
SAMEA4718003	ERS2538149	ERR2623142
SAMEA4718004	ERS2538150	ERR2623143
SAMEA4718005	ERS2538151	ERR2623144
SAMEA4718006	ERS2538152	ERR2623145
SAMEA4718007	ERS2538153	ERR2623146
SAMEA4718008	ERS2538154	ERR2623147
SAMEA4718009	ERS2538155	ERR2623148
SAMEA4718010	ERS2538156	ERR2623149
SAMEA4718011	ERS2538157	ERR2623150
SAMEA4718012	ERS2538158	ERR2623151
SAMEA4718013	ERS2538159	ERR2623152
SAMEA4718014	ERS2538160	ERR2623153
SAMEA4718015	ERS2538161	ERR2623154
SAMEA4718016	ERS2538162	ERR2623155
SAMEA4718017	ERS2538163	ERR2623156
SAMEA4718018	ERS2538164	ERR2623157
SAMEA4718019	ERS2538165	ERR2623158
